Date,Close_EUROSTOXX50,High_EUROSTOXX50,Low_EUROSTOXX50,Open_EUROSTOXX50,Volume_EUROSTOXX50
2020-01-01,3640.909912109375,3813.800048828125,3639.43994140625,3754.239990234375,715810700
2020-02-01,3329.489990234375,3867.280029296875,3283.179931640625,3646.860107421875,1011963900
2020-03-01,2786.89990234375,3448.239990234375,2302.840087890625,3355.330078125,2073063900
2020-04-01,2927.929931640625,3023.830078125,2626.10009765625,2760.5400390625,1089113300
2020-05-01,3050.199951171875,3102.9599609375,2708.070068359375,2927.929931640625,1057222700
2020-06-01,3234.070068359375,3394.89990234375,3054.110107421875,3063.0,1297683900
2020-07-01,3174.320068359375,3451.159912109375,3174.320068359375,3239.860107421875,891595900
2020-08-01,3272.510009765625,3377.43994140625,3173.97998046875,3177.760009765625,736317100
2020-09-01,3193.610107421875,3396.02001953125,3097.669921875,3279.110107421875,942069500
2020-10-01,2958.2099609375,3305.77001953125,2920.8701171875,3207.169921875,739832700
2020-11-01,3492.5400390625,3538.52001953125,2953.919921875,2969.3701171875,1041773500
2020-12-01,3552.639892578125,3603.169921875,3401.139892578125,3499.280029296875,721302100
2021-01-01,3481.43994140625,3657.830078125,3473.760009765625,3565.679931640625,737416800
2021-02-01,3636.43994140625,3742.530029296875,3492.860107421875,3492.860107421875,768062000
2021-03-01,3919.2099609375,3929.489990234375,3656.2099609375,3658.1201171875,754728700
2021-04-01,3974.739990234375,4040.8798828125,3922.360107421875,3922.360107421875,520876300
2021-05-01,4039.4599609375,4075.8701171875,3857.760009765625,3979.5,603718000
2021-06-01,4064.300048828125,4165.58984375,4044.070068359375,4044.070068359375,554875600
2021-07-01,4089.300048828125,4128.81005859375,3904.780029296875,4068.199951171875,519795000
2021-08-01,4196.41015625,4242.259765625,4082.070068359375,4095.5,474025600
2021-09-01,4048.080078125,4252.77978515625,4011.489990234375,4207.0,694952300
2021-10-01,4250.56005859375,4250.68017578125,3965.8701171875,4037.159912109375,678854900
2021-11-01,4063.06005859375,4415.22998046875,4027.429931640625,4256.93017578125,720063900
2021-12-01,4298.41015625,4319.68994140625,4046.68994140625,4080.85009765625,623994800
2022-01-01,4174.60009765625,4395.77978515625,4035.280029296875,4303.93994140625,709830000
2022-02-01,3924.22998046875,4259.27978515625,3765.419921875,4184.6298828125,901932100
2022-03-01,3902.52001953125,4024.889892578125,3387.0,3920.030029296875,1184519700
2022-04-01,3802.860107421875,3969.0400390625,3675.5400390625,3906.570068359375,640220200
2022-05-01,3789.2099609375,3852.679931640625,3526.860107421875,3772.909912109375,738884000
2022-06-01,3454.860107421875,3857.27001953125,3411.830078125,3800.10009765625,767311200
2022-07-01,3708.10009765625,3720.159912109375,3357.06005859375,3450.6201171875,765413100
2022-08-01,3517.25,3819.1201171875,3517.25,3705.760009765625,638112100
2022-09-01,3318.199951171875,3683.02001953125,3249.570068359375,3514.489990234375,767976100
2022-10-01,3617.5400390625,3631.22998046875,3256.320068359375,3309.02001953125,646423100
2022-11-01,3964.719970703125,3976.429931640625,3563.419921875,3628.60009765625,718948800
2022-12-01,3793.6201171875,4035.14990234375,3767.260009765625,3970.679931640625,558502100
2023-01-01,4163.4501953125,4197.47021484375,3802.510009765625,3802.510009765625,663434600
2023-02-01,4238.3798828125,4316.169921875,4159.009765625,4168.81005859375,726668200
2023-03-01,4315.0498046875,4325.33984375,3980.93994140625,4243.3798828125,1035126900
2023-04-01,4359.31005859375,4411.669921875,4286.2099609375,4312.990234375,550775300
2023-05-01,4218.0400390625,4412.8798828125,4210.68994140625,4359.31005859375,682017100
2023-06-01,4399.08984375,4410.2001953125,4222.56005859375,4222.56005859375,612510300
2023-07-01,4471.31005859375,4491.509765625,4197.97021484375,4401.02978515625,550257900
2023-08-01,4297.10986328125,4469.6201171875,4175.3701171875,4469.6201171875,591173800
2023-09-01,4174.66015625,4326.89990234375,4106.47998046875,4296.31005859375,578803300
2023-10-01,4061.1201171875,4234.490234375,3993.10009765625,4181.6201171875,586328700
2023-11-01,4382.47021484375,4392.81005859375,4049.8701171875,4069.64990234375,642430000
2023-12-01,4521.64990234375,4593.10986328125,4393.0400390625,4393.0400390625,506040800
2024-01-01,4648.39990234375,4674.740234375,4380.97021484375,4528.4501953125,566062100
2024-02-01,4877.77001953125,4898.3701171875,4619.47998046875,4641.93994140625,609584000
2024-03-01,5083.419921875,5103.259765625,4874.02978515625,4888.580078125,624865600
2024-04-01,4921.22021484375,5121.7099609375,4884.1201171875,5096.85986328125,599696400
2024-05-01,4983.669921875,5102.2998046875,4888.10986328125,4921.22021484375,638502200
2024-06-01,4894.02001953125,5082.06982421875,4819.56005859375,5008.10009765625,562182500
2024-07-01,4872.93994140625,5051.58984375,4767.14990234375,4924.080078125,509966800
2024-08-01,4957.97998046875,4980.85986328125,4473.93994140625,4867.08984375,494299300
2024-09-01,5000.4501953125,5071.41015625,4732.85986328125,4955.8701171875,508503100
2024-10-01,4827.6298828125,5053.22998046875,4805.22998046875,5004.3701171875,566944300
2024-11-01,4804.39990234375,4946.47998046875,4688.68017578125,4829.47998046875,576322600
2024-12-01,4895.97998046875,5007.7001953125,4764.3798828125,4785.14990234375,454420100
2025-01-01,5286.8701171875,5314.2900390625,4845.89013671875,4890.5400390625,513426900
2025-02-01,5463.5400390625,5544.1201171875,5174.009765625,5228.60986328125,527400400
2025-03-01,5248.39013671875,5568.18994140625,5218.47998046875,5469.10009765625,635240500
2025-04-01,5160.22021484375,5328.91015625,4540.22021484375,5270.25,688967500
2025-05-01,5366.58984375,5467.27978515625,5160.22021484375,5160.22021484375,557344500
2025-06-01,5410.31005859375,5432.3798828125,5308.0498046875,5337.39990234375,65699100
